"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Larynx"	"22020"	"Mississippi"	"28"	"2019"	"2019"	49	2978227	1.2	1.6
	"Larynx"	"22020"	"Missouri"	"29"	"2017"	"2017"	89	6111382	1.1	1.5
	"Larynx"	"22020"	"Missouri"	"29"	"2019"	"2019"	90	6140475	1.1	1.5
	"Larynx"	"22020"	"Nebraska"	"31"	"2017"	"2017"	28	1916998	1.2	1.5
	"Larynx"	"22020"	"Nebraska"	"31"	"2019"	"2019"	28	1932571	1.2	1.4
	"Larynx"	"22020"	"Nevada"	"32"	"2017"	"2017"	23	2972097	0.6	0.8
	"Larynx"	"22020"	"Nevada"	"32"	"2019"	"2019"	35	3090771	0.9	1.1
	"Larynx"	"22020"	"New Hampshire"	"33"	"2019"	"2019"	18	1360783	0.9	1.3
	"Larynx"	"22020"	"New Jersey"	"34"	"2017"	"2017"	88	8888147	0.8	1.0
	"Larynx"	"22020"	"New Jersey"	"34"	"2019"	"2019"	118	8891258	1.0	1.3
	"Larynx"	"22020"	"New Mexico"	"35"	"2017"	"2017"	20	2092844	0.8	1.0
	"Larynx"	"22020"	"New Mexico"	"35"	"2019"	"2019"	28	2099634	1.0	1.3
	"Larynx"	"22020"	"New York"	"36"	"2017"	"2017"	204	19593849	0.8	1.0
	"Larynx"	"22020"	"New York"	"36"	"2019"	"2019"	194	19463131	0.7	1.0
	"Larynx"	"22020"	"North Carolina"	"37"	"2017"	"2017"	137	10275758	1.1	1.3
	"Larynx"	"22020"	"North Carolina"	"37"	"2019"	"2019"	127	10501384	0.9	1.2
	"Larynx"	"22020"	"Ohio"	"39"	"2017"	"2017"	187	11665706	1.2	1.6
	"Larynx"	"22020"	"Ohio"	"39"	"2019"	"2019"	179	11696507	1.1	1.5
	"Larynx"	"22020"	"Oklahoma"	"40"	"2017"	"2017"	44	3933602	0.9	1.1
	"Larynx"	"22020"	"Oklahoma"	"40"	"2019"	"2019"	53	3960676	1.1	1.3
	"Larynx"	"22020"	"Oregon"	"41"	"2017"	"2017"	27	4147294	0.5	0.7
	"Larynx"	"22020"	"Oregon"	"41"	"2019"	"2019"	31	4216116	0.5	0.7
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2017"	"2017"	183	12794679	1.0	1.4
	"Larynx"	"22020"	"Pennsylvania"	"42"	"2019"	"2019"	185	12798883	1.0	1.4
	"Larynx"	"22020"	"South Carolina"	"45"	"2017"	"2017"	95	5027102	1.4	1.9
	"Larynx"	"22020"	"South Carolina"	"45"	"2019"	"2019"	71	5157702	1.0	1.4
	"Larynx"	"22020"	"Tennessee"	"47"	"2017"	"2017"	106	6714748	1.2	1.6
	"Larynx"	"22020"	"Tennessee"	"47"	"2019"	"2019"	122	6830325	1.4	1.8
	"Larynx"	"22020"	"Texas"	"48"	"2017"	"2017"	237	28291024	0.8	0.8
	"Larynx"	"22020"	"Texas"	"48"	"2019"	"2019"	285	28986794	0.9	1.0
	"Larynx"	"22020"	"Virginia"	"51"	"2017"	"2017"	101	8471011	1.0	1.2
	"Larynx"	"22020"	"Virginia"	"51"	"2019"	"2019"	81	8556642	0.7	0.9
	"Larynx"	"22020"	"Washington"	"53"	"2017"	"2017"	60	7427951	0.7	0.8
	"Larynx"	"22020"	"Washington"	"53"	"2019"	"2019"	60	7614024	0.6	0.8
	"Larynx"	"22020"	"West Virginia"	"54"	"2017"	"2017"	51	1818683	1.9	2.8
	"Larynx"	"22020"	"West Virginia"	"54"	"2019"	"2019"	42	1795263	1.5	2.3
	"Larynx"	"22020"	"Wisconsin"	"55"	"2017"	"2017"	77	5793147	1.0	1.3
	"Larynx"	"22020"	"Wisconsin"	"55"	"2019"	"2019"	71	5824581	0.9	1.2
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2017"	"2017"	354	4877989	6.0	7.3
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2019"	"2019"	348	4907965	5.7	7.1
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2017"	"2017"	30	740983	4.6	4.0
	"Leukemias"	"35011-35043"	"Alaska"	"02"	"2019"	"2019"	35	733603	5.4	4.8
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2017"	"2017"	501	7048088	5.9	7.1
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2019"	"2019"	548	7291843	5.9	7.5
	"Leukemias"	"35011-35043"	"Arkansas"	"05"	"2017"	"2017"	236	3003855	6.4	7.9
	"Leukemias"	"35011-35043"	"Arkansas"	"05"	"2019"	"2019"	211	3020985	5.6	7.0
	"Leukemias"	"35011-35043"	"California"	"06"	"2017"	"2017"	2379	39337785	5.7	6.0
	"Leukemias"	"35011-35043"	"California"	"06"	"2019"	"2019"	2361	39437610	5.4	6.0
	"Leukemias"	"35011-35043"	"Colorado"	"08"	"2017"	"2017"	318	5617421	5.4	5.7
	"Leukemias"	"35011-35043"	"Colorado"	"08"	"2019"	"2019"	345	5758486	5.6	6.0
	"Leukemias"	"35011-35043"	"Connecticut"	"09"	"2017"	"2017"	270	3575324	5.9	7.6
	"Leukemias"	"35011-35043"	"Connecticut"	"09"	"2019"	"2019"	285	3566022	6.0	8.0
	"Leukemias"	"35011-35043"	"Delaware"	"10"	"2017"	"2017"	88	957942	6.7	9.2
	"Leukemias"	"35011-35043"	"Delaware"	"10"	"2019"	"2019"	84	976668	6.3	8.6
	"Leukemias"	"35011-35043"	"District of Columbia"	"11"	"2017"	"2017"	37	697079	5.4	5.3
	"Leukemias"	"35011-35043"	"District of Columbia"	"11"	"2019"	"2019"	21	708253	3.2	3.0
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2017"	"2017"	1876	20977089	6.2	8.9
	"Leukemias"	"35011-35043"	"Florida"	"12"	"2019"	"2019"	1822	21492056	5.6	8.5
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2017"	"2017"	633	10417031	6.0	6.1
	"Leukemias"	"35011-35043"	"Georgia"	"13"	"2019"	"2019"	600	10628020	5.4	5.6
	"Leukemias"	"35011-35043"	"Hawaii"	"15"	"2017"	"2017"	96	1425763	5.0	6.7
	"Leukemias"	"35011-35043"	"Hawaii"	"15"	"2019"	"2019"	74	1415615	3.8	5.2
	"Leukemias"	"35011-35043"	"Idaho"	"16"	"2017"	"2017"	131	1719745	6.9	7.6
	"Leukemias"	"35011-35043"	"Idaho"	"16"	"2019"	"2019"	126	1789060	6.2	7.0
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2017"	"2017"	939	12779893	6.4	7.3
	"Leukemias"	"35011-35043"	"Illinois"	"17"	"2019"	"2019"	908	12667017	5.9	7.2
	"Leukemias"	"35011-35043"	"Indiana"	"18"	"2017"	"2017"	513	6662068	6.6	7.7
	"Leukemias"	"35011-35043"	"Indiana"	"18"	"2019"	"2019"	533	6731010	6.7	7.9
	"Leukemias"	"35011-35043"	"Iowa"	"19"	"2017"	"2017"	277	3143734	7.0	8.8
	"Leukemias"	"35011-35043"	"Iowa"	"19"	"2019"	"2019"	252	3159596	6.1	8.0
	"Leukemias"	"35011-35043"	"Kansas"	"20"	"2017"	"2017"	247	2910892	7.2	8.5
	"Leukemias"	"35011-35043"	"Kansas"	"20"	"2019"	"2019"	237	2912635	6.6	8.1
	"Leukemias"	"35011-35043"	"Kentucky"	"21"	"2017"	"2017"	362	4455590	6.9	8.1
	"Leukemias"	"35011-35043"	"Kentucky"	"21"	"2019"	"2019"	364	4472345	6.7	8.1
	"Leukemias"	"35011-35043"	"Louisiana"	"22"	"2017"	"2017"	323	4673673	6.3	6.9
	"Leukemias"	"35011-35043"	"Louisiana"	"22"	"2019"	"2019"	332	4658285	6.2	7.1
	"Leukemias"	"35011-35043"	"Maine"	"23"	"2017"	"2017"	128	1335743	6.9	9.6
	"Leukemias"	"35011-35043"	"Maine"	"23"	"2019"	"2019"	128	1345770	6.3	9.5
	"Leukemias"	"35011-35043"	"Maryland"	"24"	"2017"	"2017"	420	6028186	6.1	7.0
	"Leukemias"	"35011-35043"	"Maryland"	"24"	"2019"	"2019"	437	6054954	6.0	7.2
	"Leukemias"	"35011-35043"	"Massachusetts"	"25"	"2017"	"2017"	510	6863560	6.0	7.4
	"Leukemias"	"35011-35043"	"Massachusetts"	"25"	"2019"	"2019"	476	6894883	5.3	6.9
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2017"	"2017"	816	9976752	6.6	8.2
	"Leukemias"	"35011-35043"	"Michigan"	"26"	"2019"	"2019"	819	9984795	6.3	8.2
	"Leukemias"	"35011-35043"	"Minnesota"	"27"	"2017"	"2017"	443	5569283	6.7	8.0
	"Leukemias"	"35011-35043"	"Minnesota"	"27"	"2019"	"2019"	430	5640053	6.2	7.6
	"Leukemias"	"35011-35043"	"Mississippi"	"28"	"2017"	"2017"	228	2990674	6.8	7.6
	"Leukemias"	"35011-35043"	"Mississippi"	"28"	"2019"	"2019"	246	2978227	7.0	8.3
	"Leukemias"	"35011-35043"	"Missouri"	"29"	"2017"	"2017"	489	6111382	6.6	8.0
	"Leukemias"	"35011-35043"	"Missouri"	"29"	"2019"	"2019"	469	6140475	5.9	7.6
	"Leukemias"	"35011-35043"	"Montana"	"30"	"2017"	"2017"	79	1053862	5.9	7.5
	"Leukemias"	"35011-35043"	"Montana"	"30"	"2019"	"2019"	86	1070123	5.9	8.0
	"Leukemias"	"35011-35043"	"Nebraska"	"31"	"2017"	"2017"	151	1916998	6.5	7.9
	"Leukemias"	"35011-35043"	"Nebraska"	"31"	"2019"	"2019"	154	1932571	6.4	8.0
	"Leukemias"	"35011-35043"	"Nevada"	"32"	"2017"	"2017"	188	2972097	5.8	6.3
	"Leukemias"	"35011-35043"	"Nevada"	"32"	"2019"	"2019"	215	3090771	6.2	7.0
	"Leukemias"	"35011-35043"	"New Hampshire"	"33"	"2017"	"2017"	97	1350395	5.5	7.2
	"Leukemias"	"35011-35043"	"New Hampshire"	"33"	"2019"	"2019"	105	1360783	5.7	7.7
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2017"	"2017"	699	8888147	6.5	7.9
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	"2019"	"2019"	617	8891258	5.5	6.9
	"Leukemias"	"35011-35043"	"New Mexico"	"35"	"2017"	"2017"	121	2092844	4.8	5.8
	"Leukemias"	"35011-35043"	"New Mexico"	"35"	"2019"	"2019"	131	2099634	4.9	6.2
	"Leukemias"	"35011-35043"	"New York"	"36"	"2017"	"2017"	1407	19593849	5.8	7.2
	"Leukemias"	"35011-35043"	"New York"	"36"	"2019"	"2019"	1349	19463131	5.5	6.9
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2017"	"2017"	684	10275758	5.8	6.7
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	"2019"	"2019"	796	10501384	6.3	7.6
	"Leukemias"	"35011-35043"	"North Dakota"	"38"	"2017"	"2017"	65	756755	7.5	8.6
	"Leukemias"	"35011-35043"	"North Dakota"	"38"	"2019"	"2019"	61	763724	6.6	8.0
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2017"	"2017"	993	11665706	6.8	8.5
	"Leukemias"	"35011-35043"	"Ohio"	"39"	"2019"	"2019"	992	11696507	6.6	8.5
	"Leukemias"	"35011-35043"	"Oklahoma"	"40"	"2017"	"2017"	302	3933602	6.8	7.7
	"Leukemias"	"35011-35043"	"Oklahoma"	"40"	"2019"	"2019"	322	3960676	6.8	8.1
	"Leukemias"	"35011-35043"	"Oregon"	"41"	"2017"	"2017"	348	4147294	6.9	8.4
	"Leukemias"	"35011-35043"	"Oregon"	"41"	"2019"	"2019"	320	4216116	6.0	7.6
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2017"	"2017"	1122	12794679	6.5	8.8
	"Leukemias"	"35011-35043"	"Pennsylvania"	"42"	"2019"	"2019"	1117	12798883	6.3	8.7
	"Leukemias"	"35011-35043"	"Rhode Island"	"44"	"2017"	"2017"	93	1056554	6.8	8.8
	"Leukemias"	"35011-35043"	"Rhode Island"	"44"	"2019"	"2019"	79	1058158	5.7	7.5
	"Leukemias"	"35011-35043"	"South Carolina"	"45"	"2017"	"2017"	375	5027102	6.2	7.5
	"Leukemias"	"35011-35043"	"South Carolina"	"45"	"2019"	"2019"	387	5157702	6.0	7.5
	"Leukemias"	"35011-35043"	"South Dakota"	"46"	"2017"	"2017"	62	873732	5.6	7.1
	"Leukemias"	"35011-35043"	"South Dakota"	"46"	"2019"	"2019"	72	887127	6.6	8.1
	"Leukemias"	"35011-35043"	"Tennessee"	"47"	"2017"	"2017"	515	6714748	6.5	7.7
	"Leukemias"	"35011-35043"	"Tennessee"	"47"	"2019"	"2019"	497	6830325	6.0	7.3
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2017"	"2017"	1631	28291024	6.1	5.8
	"Leukemias"	"35011-35043"	"Texas"	"48"	"2019"	"2019"	1535	28986794	5.4	5.3
	"Leukemias"	"35011-35043"	"Utah"	"49"	"2017"	"2017"	160	3103540	6.2	5.2
	"Leukemias"	"35011-35043"	"Utah"	"49"	"2019"	"2019"	166	3203383	6.2	5.2
	"Leukemias"	"35011-35043"	"Vermont"	"50"	"2017"	"2017"	50	625132	5.7	8.0
	"Leukemias"	"35011-35043"	"Vermont"	"50"	"2019"	"2019"	45	624046	5.1	7.2
	"Leukemias"	"35011-35043"	"Virginia"	"51"	"2017"	"2017"	545	8471011	5.8	6.4
	"Leukemias"	"35011-35043"	"Virginia"	"51"	"2019"	"2019"	597	8556642	6.0	7.0
	"Leukemias"	"35011-35043"	"Washington"	"53"	"2017"	"2017"	502	7427951	6.1	6.8
	"Leukemias"	"35011-35043"	"Washington"	"53"	"2019"	"2019"	503	7614024	5.7	6.6
	"Leukemias"	"35011-35043"	"West Virginia"	"54"	"2017"	"2017"	176	1818683	7.0	9.7
	"Leukemias"	"35011-35043"	"West Virginia"	"54"	"2019"	"2019"	172	1795263	6.7	9.6
	"Leukemias"	"35011-35043"	"Wisconsin"	"55"	"2017"	"2017"	482	5793147	6.6	8.3
	"Leukemias"	"35011-35043"	"Wisconsin"	"55"	"2019"	"2019"	478	5824581	6.4	8.2
	"Leukemias"	"35011-35043"	"Wyoming"	"56"	"2017"	"2017"	36	579994	4.9	6.2
	"Leukemias"	"35011-35043"	"Wyoming"	"56"	"2019"	"2019"	50	580116	7.4	8.6
	"Liver"	"21071"	"Alabama"	"01"	"2017"	"2017"	355	4877989	5.5	7.3
	"Liver"	"21071"	"Alabama"	"01"	"2019"	"2019"	391	4907965	5.9	8.0
	"Liver"	"21071"	"Alaska"	"02"	"2017"	"2017"	29	740983	3.5	3.9
	"Liver"	"21071"	"Alaska"	"02"	"2019"	"2019"	44	733603	5.8	6.0
	"Liver"	"21071"	"Arizona"	"04"	"2017"	"2017"	458	7048088	5.0	6.5
	"Liver"	"21071"	"Arizona"	"04"	"2019"	"2019"	507	7291843	5.1	7.0
	"Liver"	"21071"	"Arkansas"	"05"	"2017"	"2017"	218	3003855	5.6	7.3
	"Liver"	"21071"	"Arkansas"	"05"	"2019"	"2019"	251	3020985	6.2	8.3
	"Liver"	"21071"	"California"	"06"	"2017"	"2017"	2657	39337785	5.9	6.8
	"Liver"	"21071"	"California"	"06"	"2019"	"2019"	2614	39437610	5.6	6.6
	"Liver"	"21071"	"Colorado"	"08"	"2017"	"2017"	252	5617421	3.8	4.5
	"Liver"	"21071"	"Colorado"	"08"	"2019"	"2019"	256	5758486	3.7	4.4
	"Liver"	"21071"	"Connecticut"	"09"	"2017"	"2017"	183	3575324	3.8	5.1
	"Liver"	"21071"	"Connecticut"	"09"	"2019"	"2019"	166	3566022	3.2	4.7
	"Liver"	"21071"	"Delaware"	"10"	"2017"	"2017"	82	957942	5.9	8.6
	"Liver"	"21071"	"Delaware"	"10"	"2019"	"2019"	73	976668	4.9	7.5
	"Liver"	"21071"	"District of Columbia"	"11"	"2017"	"2017"	40	697079	5.4	5.7
	"Liver"	"21071"	"District of Columbia"	"11"	"2019"	"2019"	55	708253	7.5	7.8
	"Liver"	"21071"	"Florida"	"12"	"2017"	"2017"	1491	20977089	4.7	7.1
	"Liver"	"21071"	"Florida"	"12"	"2019"	"2019"	1599	21492056	4.7	7.4
	"Liver"	"21071"	"Georgia"	"13"	"2017"	"2017"	599	10417031	5.1	5.8
	"Liver"	"21071"	"Georgia"	"13"	"2019"	"2019"	641	10628020	5.2	6.0
	"Liver"	"21071"	"Hawaii"	"15"	"2017"	"2017"	114	1425763	5.7	8.0
	"Liver"	"21071"	"Hawaii"	"15"	"2019"	"2019"	116	1415615	5.9	8.2
	"Liver"	"21071"	"Idaho"	"16"	"2017"	"2017"	84	1719745	4.1	4.9
	"Liver"	"21071"	"Idaho"	"16"	"2019"	"2019"	84	1789060	3.5	4.7
	"Liver"	"21071"	"Illinois"	"17"	"2017"	"2017"	648	12779893	4.1	5.1
	"Liver"	"21071"	"Illinois"	"17"	"2019"	"2019"	667	12667017	4.1	5.3
	"Liver"	"21071"	"Indiana"	"18"	"2017"	"2017"	360	6662068	4.3	5.4
	"Liver"	"21071"	"Indiana"	"18"	"2019"	"2019"	400	6731010	4.6	5.9
	"Liver"	"21071"	"Iowa"	"19"	"2017"	"2017"	137	3143734	3.4	4.4
	"Liver"	"21071"	"Iowa"	"19"	"2019"	"2019"	164	3159596	3.9	5.2
	"Liver"	"21071"	"Kansas"	"20"	"2017"	"2017"	139	2910892	3.8	4.8
	"Liver"	"21071"	"Kansas"	"20"	"2019"	"2019"	170	2912635	4.5	5.8
	"Liver"	"21071"	"Kentucky"	"21"	"2017"	"2017"	264	4455590	4.6	5.9
	"Liver"	"21071"	"Kentucky"	"21"	"2019"	"2019"	247	4472345	4.1	5.5
	"Liver"	"21071"	"Louisiana"	"22"	"2017"	"2017"	475	4673673	8.1	10.2
	"Liver"	"21071"	"Louisiana"	"22"	"2019"	"2019"	471	4658285	7.7	10.1
	"Liver"	"21071"	"Maine"	"23"	"2017"	"2017"	72	1335743	3.4	5.4
	"Liver"	"21071"	"Maine"	"23"	"2019"	"2019"	73	1345770	3.2	5.4
	"Liver"	"21071"	"Maryland"	"24"	"2017"	"2017"	370	6028186	4.8	6.1
	"Liver"	"21071"	"Maryland"	"24"	"2019"	"2019"	345	6054954	4.4	5.7
	"Liver"	"21071"	"Massachusetts"	"25"	"2017"	"2017"	355	6863560	4.0	5.2
	"Liver"	"21071"	"Massachusetts"	"25"	"2019"	"2019"	330	6894883	3.5	4.8
	"Liver"	"21071"	"Michigan"	"26"	"2017"	"2017"	612	9976752	4.4	6.1
	"Liver"	"21071"	"Michigan"	"26"	"2019"	"2019"	578	9984795	4.2	5.8
	"Liver"	"21071"	"Minnesota"	"27"	"2017"	"2017"	242	5569283	3.6	4.3
	"Liver"	"21071"	"Minnesota"	"27"	"2019"	"2019"	233	5640053	3.2	4.1
	"Liver"	"21071"	"Mississippi"	"28"	"2017"	"2017"	261	2990674	7.0	8.7
	"Liver"	"21071"	"Mississippi"	"28"	"2019"	"2019"	273	2978227	7.1	9.2
	"Liver"	"21071"	"Missouri"	"29"	"2017"	"2017"	387	6111382	4.8	6.3
	"Liver"	"21071"	"Missouri"	"29"	"2019"	"2019"	393	6140475	4.7	6.4
	"Liver"	"21071"	"Montana"	"30"	"2017"	"2017"	62	1053862	3.9	5.9
	"Liver"	"21071"	"Montana"	"30"	"2019"	"2019"	58	1070123	3.4	5.4
	"Liver"	"21071"	"Nebraska"	"31"	"2017"	"2017"	67	1916998	2.7	3.5
	"Liver"	"21071"	"Nebraska"	"31"	"2019"	"2019"	68	1932571	2.8	3.5
	"Liver"	"21071"	"Nevada"	"32"	"2017"	"2017"	182	2972097	5.0	6.1
	"Liver"	"21071"	"Nevada"	"32"	"2019"	"2019"	186	3090771	4.9	6.0
	"Liver"	"21071"	"New Hampshire"	"33"	"2017"	"2017"	66	1350395	3.5	4.9
	"Liver"	"21071"	"New Hampshire"	"33"	"2019"	"2019"	62	1360783	3.0	4.6
	"Liver"	"21071"	"New Jersey"	"34"	"2017"	"2017"	483	8888147	4.2	5.4
	"Liver"	"21071"	"New Jersey"	"34"	"2019"	"2019"	477	8891258	4.0	5.4
	"Liver"	"21071"	"New Mexico"	"35"	"2017"	"2017"	182	2092844	6.5	8.7
	"Liver"	"21071"	"New Mexico"	"35"	"2019"	"2019"	193	2099634	6.9	9.2
	"Liver"	"21071"	"New York"	"36"	"2017"	"2017"	1018	19593849	4.1	5.2
	"Liver"	"21071"	"New York"	"36"	"2019"	"2019"	957	19463131	3.7	4.9
	"Liver"	"21071"	"North Carolina"	"37"	"2017"	"2017"	581	10275758	4.4	5.7
	"Liver"	"21071"	"North Carolina"	"37"	"2019"	"2019"	630	10501384	4.5	6.0
	"Liver"	"21071"	"North Dakota"	"38"	"2017"	"2017"	32	756755	3.4	4.2
	"Liver"	"21071"	"North Dakota"	"38"	"2019"	"2019"	38	763724	3.7	5.0
	"Liver"	"21071"	"Ohio"	"39"	"2017"	"2017"	718	11665706	4.6	6.2
	"Liver"	"21071"	"Ohio"	"39"	"2019"	"2019"	676	11696507	4.2	5.8
	"Liver"	"21071"	"Oklahoma"	"40"	"2017"	"2017"	316	3933602	6.3	8.0
	"Liver"	"21071"	"Oklahoma"	"40"	"2019"	"2019"	316	3960676	6.1	8.0
	"Liver"	"21071"	"Oregon"	"41"	"2017"	"2017"	283	4147294	4.8	6.8
	"Liver"	"21071"	"Oregon"	"41"	"2019"	"2019"	279	4216116	4.6	6.6
	"Liver"	"21071"	"Pennsylvania"	"42"	"2017"	"2017"	837	12794679	4.6	6.5
	"Liver"	"21071"	"Pennsylvania"	"42"	"2019"	"2019"	759	12798883	4.1	5.9
	"Liver"	"21071"	"Rhode Island"	"44"	"2017"	"2017"	79	1056554	5.7	7.5
	"Liver"	"21071"	"Rhode Island"	"44"	"2019"	"2019"	85	1058158	6.0	8.0
	"Liver"	"21071"	"South Carolina"	"45"	"2017"	"2017"	332	5027102	4.9	6.6
	"Liver"	"21071"	"South Carolina"	"45"	"2019"	"2019"	331	5157702	4.5	6.4
	"Liver"	"21071"	"South Dakota"	"46"	"2017"	"2017"	38	873732	3.4	4.3
	"Liver"	"21071"	"South Dakota"	"46"	"2019"	"2019"	43	887127	3.8	4.8
	"Liver"	"21071"	"Tennessee"	"47"	"2017"	"2017"	502	6714748	5.8	7.5
	"Liver"	"21071"	"Tennessee"	"47"	"2019"	"2019"	478	6830325	5.2	7.0
	"Liver"	"21071"	"Texas"	"48"	"2017"	"2017"	1961	28291024	6.6	6.9
	"Liver"	"21071"	"Texas"	"48"	"2019"	"2019"	1955	28986794	6.3	6.7
	"Liver"	"21071"	"Utah"	"49"	"2017"	"2017"	96	3103540	3.6	3.1
	"Liver"	"21071"	"Utah"	"49"	"2019"	"2019"	88	3203383	3.0	2.7
	"Liver"	"21071"	"Vermont"	"50"	"2017"	"2017"	34	625132	3.9	5.4
	"Liver"	"21071"	"Vermont"	"50"	"2019"	"2019"	35	624046	3.7	5.6
	"Liver"	"21071"	"Virginia"	"51"	"2017"	"2017"	477	8471011	4.5	5.6
	"Liver"	"21071"	"Virginia"	"51"	"2019"	"2019"	456	8556642	4.2	5.3
	"Liver"	"21071"	"Washington"	"53"	"2017"	"2017"	429	7427951	4.6	5.8
	"Liver"	"21071"	"Washington"	"53"	"2019"	"2019"	423	7614024	4.3	5.6
	"Liver"	"21071"	"West Virginia"	"54"	"2017"	"2017"	142	1818683	5.3	7.8
	"Liver"	"21071"	"West Virginia"	"54"	"2019"	"2019"	120	1795263	4.4	6.7
	"Liver"	"21071"	"Wisconsin"	"55"	"2017"	"2017"	256	5793147	3.4	4.4
	"Liver"	"21071"	"Wisconsin"	"55"	"2019"	"2019"	260	5824581	3.2	4.5
	"Liver"	"21071"	"Wyoming"	"56"	"2017"	"2017"	33	579994	4.2	5.7
	"Liver"	"21071"	"Wyoming"	"56"	"2019"	"2019"	30	580116	3.8	5.2
	"Lung and Bronchus"	"22030"	"Alabama"	"01"	"2017"	"2017"	2946	4877989	46.6	60.4
	"Lung and Bronchus"	"22030"	"Alabama"	"01"	"2019"	"2019"	2746	4907965	41.7	55.9
	"Lung and Bronchus"	"22030"	"Alaska"	"02"	"2017"	"2017"	203	740983	31.2	27.4
	"Lung and Bronchus"	"22030"	"Alaska"	"02"	"2019"	"2019"	222	733603	30.5	30.3
	"Lung and Bronchus"	"22030"	"Arizona"	"04"	"2017"	"2017"	2768	7048088	30.3	39.3
	"Lung and Bronchus"	"22030"	"Arizona"	"04"	"2019"	"2019"	2512	7291843	25.2	34.4
	"Lung and Bronchus"	"22030"	"Arkansas"	"05"	"2017"	"2017"	1954	3003855	50.9	65.0
	"Lung and Bronchus"	"22030"	"Arkansas"	"05"	"2019"	"2019"	1832	3020985	45.5	60.6
	"Lung and Bronchus"	"22030"	"California"	"06"	"2017"	"2017"	11555	39337785	26.8	29.4
	"Lung and Bronchus"	"22030"	"California"	"06"	"2019"	"2019"	10731	39437610	23.7	27.2
	"Lung and Bronchus"	"22030"	"Colorado"	"08"	"2017"	"2017"	1495	5617421	24.8	26.6
	"Lung and Bronchus"	"22030"	"Colorado"	"08"	"2019"	"2019"	1474	5758486	23.2	25.6
	"Lung and Bronchus"	"22030"	"Connecticut"	"09"	"2017"	"2017"	1508	3575324	31.7	42.2
	"Lung and Bronchus"	"22030"	"Connecticut"	"09"	"2019"	"2019"	1401	3566022	28.3	39.3
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	"2017"	"2017"	550	957942	41.2	57.4
	"Lung and Bronchus"	"22030"	"Delaware"	"10"	"2019"	"2019"	504	976668	35.5	51.6
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	"2017"	"2017"	202	697079	30.3	29.0
	"Lung and Bronchus"	"22030"	"District of Columbia"	"11"	"2019"	"2019"	191	708253	27.7	27.0
	"Lung and Bronchus"	"22030"	"Florida"	"12"	"2017"	"2017"	11403	20977089	35.9	54.4
	"Lung and Bronchus"	"22030"	"Florida"	"12"	"2019"	"2019"	10933	21492056	32.2	50.9
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	"2017"	"2017"	4392	10417031	39.0	42.2
	"Lung and Bronchus"	"22030"	"Georgia"	"13"	"2019"	"2019"	4313	10628020	36.0	40.6
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	"2017"	"2017"	545	1425763	28.3	38.2
	"Lung and Bronchus"	"22030"	"Hawaii"	"15"	"2019"	"2019"	543	1415615	26.8	38.4
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	"2017"	"2017"	607	1719745	30.2	35.3
	"Lung and Bronchus"	"22030"	"Idaho"	"16"	"2019"	"2019"	572	1789060	26.3	32.0
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	"2017"	"2017"	6009	12779893	39.1	47.0
	"Lung and Bronchus"	"22030"	"Illinois"	"17"	"2019"	"2019"	5703	12667017	35.8	45.0
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	"2017"	"2017"	3792	6662068	47.4	56.9
	"Lung and Bronchus"	"22030"	"Indiana"	"18"	"2019"	"2019"	3624	6731010	42.9	53.8
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	"2017"	"2017"	1620	3143734	39.5	51.5
	"Lung and Bronchus"	"22030"	"Iowa"	"19"	"2019"	"2019"	1532	3159596	35.9	48.5
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	"2017"	"2017"	1390	2910892	39.4	47.8
	"Lung and Bronchus"	"22030"	"Kansas"	"20"	"2019"	"2019"	1409	2912635	38.3	48.4
	"Lung and Bronchus"	"22030"	"Kentucky"	"21"	"2017"	"2017"	3152	4455590	56.7	70.7
